strategy_id,symbol,result,event_date,event_return,event_volume,event_rvol,setup_date,entry_date,entry,stop,exit_date,exit_reason,net_R,net_return,stopped,hit_10R
EP-003,ALT,Loser,2024-06-21,0.079125,11137560,3.817183,2024-07-12,2024-07-15,8.01,7.3939,2024-07-17,Stop,-1.026003,-0.078913,1,0
EP-003,QURE,Loser,2024-12-10,1.097327,61928110,15.773509,2025-01-02,2025-01-03,17.55,16.2247,2025-01-08,Stop,-1.026485,-0.077515,1,0
EP-003,CVNA,Loser,2024-02-23,0.320931,195305850,4.776645,2024-03-04,2024-03-05,16.122,14.9085,2024-03-15,Stop,-1.026571,-0.07727,1,0
EP-003,CYRX,Loser,2025-08-06,0.29822,9690858,10.700385,2025-08-14,2025-08-15,9.0,8.3329,2025-09-04,Stop,-1.026983,-0.076122,1,0
EP-003,ACRS,Loser,2026-03-09,0.107843,13708670,6.854422,2026-03-13,2026-03-16,3.61,3.3429,2026-03-24,Stop,-1.02703,-0.075992,1,0
EP-003,HTZ,Loser,2025-08-20,0.059615,42259530,4.850243,2025-08-29,2025-09-02,5.51,5.1037,2025-10-20,Stop,-1.027122,-0.075742,1,0
EP-003,ALT,Loser,2026-01-05,0.165242,27007060,4.466563,2026-01-16,2026-01-20,4.1,3.7991,2026-03-05,Stop,-1.027248,-0.075399,1,0
EP-003,PSKY,Loser,2025-09-11,0.155526,48508780,3.533198,2025-09-17,2025-09-18,18.0,16.6884,2025-10-14,Stop,-1.027448,-0.074865,1,0
EP-003,MGNI,Loser,2025-04-17,0.124242,9054426,3.003586,2025-04-25,2025-04-28,12.47,11.5731,2025-04-30,Stop,-1.027808,-0.073921,1,0
EP-003,IHRT,Loser,2025-11-04,0.371134,24800620,12.497321,2025-11-07,2025-11-10,4.595,4.2699,2025-11-10,Stop,-1.028268,-0.072751,1,0
EP-003,KSS,Loser,2025-08-27,0.240031,47362860,5.372108,2025-09-05,2025-09-08,16.78,15.6147,2025-09-12,Stop,-1.028801,-0.071443,1,0
EP-003,GLUE,Loser,2026-01-07,0.454091,23208660,10.035914,2026-01-15,2026-01-16,24.46,22.7688,2026-01-23,Stop,-1.028927,-0.071141,1,0
EP-003,FLG,Loser,2024-05-01,0.283015,31572221,4.691865,2024-05-08,2024-05-09,10.6801,9.9472,2024-05-22,Stop,-1.029145,-0.070622,1,0
EP-003,NAVN,Loser,2025-12-19,0.097313,10691790,5.251925,2026-01-06,2026-01-07,17.62,16.4126,2026-01-14,Stop,-1.029186,-0.070527,1,0
EP-003,NUVB,Loser,2025-11-19,0.489583,59110310,5.18213,2025-11-28,2025-12-01,7.93,7.397,2026-01-12,Stop,-1.029757,-0.069212,1,0
EP-003,NVCR,Loser,2024-12-02,0.489521,12214760,8.594466,2024-12-17,2024-12-18,31.99,29.8519,2024-12-19,Stop,-1.029924,-0.068835,1,0
EP-003,SFIX,Loser,2024-06-05,0.294007,21089600,8.972193,2024-06-26,2024-06-27,3.85,3.5945,2024-08-06,Stop,-1.030142,-0.068353,1,0
EP-003,VRDN,Loser,2024-09-10,0.321353,16590330,9.849696,2024-09-27,2024-09-30,22.75,21.2575,2024-11-15,Stop,-1.030485,-0.067606,1,0
EP-003,TTEC,Loser,2024-09-30,0.449383,19719180,14.101962,2024-10-07,2024-10-08,5.91,5.5229,2024-10-18,Stop,-1.030532,-0.067506,1,0
EP-003,CRNC,Loser,2025-11-20,0.275253,11532200,6.203601,2025-12-08,2025-12-09,12.66,11.8412,2025-12-10,Stop,-1.030922,-0.066679,1,0
EP-003,BHC,Loser,2025-04-17,0.133333,9207125,3.039031,2025-05-02,2025-05-05,5.37,5.0249,2025-05-05,Stop,-1.031124,-0.06626,1,0
EP-003,PACS,Loser,2025-11-17,0.483932,11860420,9.973772,2025-11-26,2025-11-28,32.49,30.4052,2025-12-03,Stop,-1.031168,-0.066168,1,0
EP-003,JMIA,Loser,2025-07-01,0.161692,15331860,4.26065,2025-07-18,2025-07-21,4.79,4.4871,2025-07-29,Stop,-1.031631,-0.065229,1,0
EP-003,TDUP,Loser,2025-05-06,0.477477,21094970,7.808223,2025-05-19,2025-05-20,7.04,6.5991,2025-07-10,Stop,-1.031933,-0.064631,1,0
EP-003,SVRA,Loser,2024-06-28,0.057743,9177541,3.029509,2024-07-10,2024-07-11,4.91,4.6031,2024-07-19,Stop,-1.031996,-0.064508,1,0
EP-003,SMCI,Loser,2026-02-04,0.13785,115558200,3.166817,2026-02-10,2026-02-11,33.89,31.7797,2026-02-11,Stop,-1.032119,-0.064268,1,0
EP-003,ORIC,Loser,2025-05-29,0.335008,14471370,9.82112,2025-06-10,2025-06-11,9.88,9.1149,2025-06-12,Stop,-1.03225,-0.079935,1,0
EP-003,BE,Loser,2024-11-08,0.234302,23196130,3.194808,2024-11-29,2024-12-02,27.55,25.8455,2024-12-03,Stop,-1.032325,-0.063871,1,0
EP-003,U,Loser,2026-03-27,0.135435,54029350,3.449894,2026-04-07,2026-04-08,23.44,21.9923,2026-04-08,Stop,-1.032382,-0.063762,1,0
EP-003,RUM,Loser,2026-04-16,0.145161,11309700,5.173242,2026-04-28,2026-04-29,7.04,6.6087,2026-04-29,Stop,-1.032643,-0.06327,1,0
EP-003,KLAR,Loser,2026-05-14,0.203068,27179890,4.725377,2026-05-21,2026-05-22,16.03,15.0484,2026-08-18,Stop,-1.032661,-0.063236,1,0
EP-003,OCUL,Loser,2024-02-22,0.289894,11046590,5.097582,2024-03-05,2024-03-06,11.03,10.3549,2024-03-07,Stop,-1.032676,-0.063206,1,0
EP-003,NAMS,Loser,2024-12-10,0.414147,9602543,7.773608,2024-12-24,2024-12-26,25.83,24.2503,2025-01-13,Stop,-1.032702,-0.063159,1,0
EP-003,ANNX,Loser,2025-12-19,0.072614,10460490,3.249466,2025-12-24,2025-12-26,5.16,4.8491,2026-01-02,Stop,-1.033195,-0.062251,1,0
EP-003,U,Loser,2025-05-28,0.125172,39242000,3.313316,2025-06-03,2025-06-04,26.5,24.9079,2025-06-05,Stop,-1.033289,-0.06208,1,0
EP-003,LCID,Loser,2025-09-05,0.139233,33386950,3.060708,2025-09-18,2025-09-19,20.5,19.2711,2025-10-22,Stop,-1.033363,-0.061947,1,0
EP-003,GOGO,Loser,2025-05-09,0.453104,12478590,7.338924,2025-05-15,2025-05-16,12.35,11.6183,2025-05-23,Stop,-1.033755,-0.061251,1,0
EP-003,TSHA,Loser,2026-04-15,0.273885,9836581,3.105803,2026-04-24,2026-04-27,6.36,5.9838,2026-05-15,Stop,-1.033808,-0.061158,1,0
EP-003,MGNX,Loser,2026-05-12,0.19322,9609972,9.037024,2026-05-26,2026-05-27,4.45,4.1416,2026-05-29,Stop,-1.03389,-0.071663,1,0
EP-003,SVC,Loser,2024-12-20,0.064378,9555668,7.658442,2025-01-10,2025-01-13,12.9,12.1413,2025-03-11,Stop,-1.034005,-0.060814,1,0
EP-003,PTON,Loser,2025-07-30,0.187702,44271020,3.996266,2025-08-15,2025-08-18,8.52,8.0201,2025-08-19,Stop,-1.034089,-0.06067,1,0
EP-003,ELF,Loser,2024-11-07,0.114343,9411215,3.393352,2024-11-29,2024-12-02,129.37,121.7913,2024-12-02,Stop,-1.03414,-0.060582,1,0
EP-003,ATEC,Loser,2024-10-31,0.396797,16686340,6.27659,2024-11-06,2024-11-07,8.86,8.3432,2024-11-15,Stop,-1.034286,-0.060334,1,0
EP-003,MGNI,Loser,2024-05-16,0.223469,14195850,6.176827,2024-05-29,2024-05-30,12.3,11.5848,2024-08-08,Stop,-1.034396,-0.060145,1,0
EP-003,MLYS,Loser,2025-09-02,0.864341,15718580,9.407862,2025-09-22,2025-09-23,38.94,36.6831,2025-10-07,Stop,-1.034507,-0.059959,1,0
EP-003,NBIS,Loser,2025-09-09,0.494224,88378300,6.102598,2025-09-29,2025-09-30,113.445,106.8904,2025-10-21,Stop,-1.034615,-0.059778,1,0
EP-003,CIEN,Loser,2026-02-06,0.072496,33471360,8.271961,2026-02-24,2026-02-25,345.99,326.2216,2026-03-03,Stop,-1.035004,-0.059136,1,0
EP-003,COGT,Loser,2025-07-07,0.233509,31658900,8.118513,2025-07-23,2025-07-24,12.42,11.7129,2025-07-29,Stop,-1.035131,-0.05893,1,0
EP-003,ASPN,Loser,2024-05-02,0.567017,11894540,10.289495,2024-05-09,2024-05-10,26.98,25.4565,2024-05-14,Stop,-1.035419,-0.058468,1,0
EP-003,EWTX,Loser,2024-09-19,0.546932,11932330,8.051728,2024-10-10,2024-10-11,29.99,28.2993,2024-12-12,Stop,-1.035476,-0.058377,1,0
EP-003,RNG,Loser,2026-02-20,0.343995,14567860,3.984653,2026-03-09,2026-03-10,41.73,39.3792,2026-03-11,Stop,-1.035503,-0.058333,1,0
EP-003,TGTX,Loser,2025-03-03,0.143902,13500040,6.117318,2025-03-17,2025-03-18,40.38,38.1058,2025-03-31,Stop,-1.035512,-0.058319,1,0
EP-003,W,Loser,2024-02-22,0.107831,14027770,3.13962,2024-03-01,2024-03-04,60.18,56.7967,2024-04-15,Stop,-1.035575,-0.058219,1,0
EP-003,YPF,Loser,2025-10-27,0.237848,15631830,4.421881,2025-11-04,2025-11-05,37.55,35.4527,2025-11-07,Stop,-1.035807,-0.057854,1,0
EP-003,APP,Loser,2024-11-07,0.462652,18592810,4.171964,2024-11-29,2024-12-02,335.785,317.1278,2024-12-11,Stop,-1.035995,-0.057563,1,0
